"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 44 ending November 05, 2022"	"2022/44"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 45 ending November 12, 2022"	"2022/45"	29	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 46 ending November 19, 2022"	"2022/46"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 47 ending November 26, 2022"	"2022/47"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 48 ending December 03, 2022"	"2022/48"	26	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 49 ending December 10, 2022"	"2022/49"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 50 ending December 17, 2022"	"2022/50"	34	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 51 ending December 24, 2022"	"2022/51"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 52 ending December 31, 2022"	"2022/52"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 01 ending January 08, 2022"	"2022/01"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 02 ending January 15, 2022"	"2022/02"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 03 ending January 22, 2022"	"2022/03"	36	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 04 ending January 29, 2022"	"2022/04"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 05 ending February 05, 2022"	"2022/05"	42	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 06 ending February 12, 2022"	"2022/06"	37	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 07 ending February 19, 2022"	"2022/07"	34	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 08 ending February 26, 2022"	"2022/08"	36	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 09 ending March 05, 2022"	"2022/09"	29	Not Applicable	Not Applicable
	"North Carolina"	"37"	"30-34 years"	"30-34"	"2022 Week 10 ending March 12, 2022"	"2022/10"	27	Not Applicable	Not Applicable
